Word,InverseAverage,InverseLinearRegressionSlope,IndexAboveThreshold(0.3),IndexPolynomialFitAboveThreshold(0.3),InflectionPointPolynomial
demagnetized,,,,,
demand,0.552772834,1.235658825,1,3,6.401671157
demarcation,0.860957397,2.30728806,6,10,9.308025533
demean,0.849531891,2.537231832,11,11,9.854216782
demeanor,0.918463419,2.945701792,11,11,10.24162673
dement,0.690852704,1.799393254,2,2,8.183424284
demeter,0.529919105,1.25765719,2,2,6.104830482
demetrius,0.918002904,2.853208559,8,10,10.11776917
demigod,0.988351608,4.593271673,11,11,11.80587468
demijohn,0.946677791,3.375050274,9,11,10.71833317
demise,0.95937475,3.788064664,11,11,11.14300197
demo,0.609062206,1.440963713,2,2,7.118380935
demobilization,0.98175738,4.315776436,11,11,11.59613246
demobilize,0.909565285,2.721102001,9,10,9.9367388
democracy,0.558221727,1.347994766,2,2,6.468327796
democrat,0.679881073,1.475589896,4,6,7.405129358
democratic,0.504026162,1.18284059,2,2,5.910223222
democratically,0.882544945,2.607744033,11,10,9.799238268
democritus,0.531535844,1.115585737,3,4,6.180514836
demographer,0.96149451,3.670047608,11,11,11.03276632
demographic,0.867804196,2.302091565,7,10,9.32062339
demographics,0.819144174,2.021673302,6,9,8.781043262
demolish,0.825646877,2.022473264,6,9,8.811404993
demolition,0.745025511,1.67433464,5,7,7.993971745
demon,0.640743858,1.486908632,2,3,7.256625895
demoniacal,0.908786253,2.977011491,11,11,10.32899273
demonic,0.959718714,3.865639617,11,11,11.24148291
demonstrably,0.966624894,3.880375009,11,11,11.22384911
demonstrate,0.763267156,1.899592758,3,10,8.549801072
demonstration,0.80647028,2.059644914,6,9,8.855781915
demonstrative,0.446276801,0.968566744,4,4,5.545594331
demonstratively,0.97872535,4.616547558,11,11,11.97104447
demonstrativeness,,,,,
demonstrator,0.903841151,2.856650222,11,11,10.16157401
demoralize,0.63812138,1.300426168,5,6,6.947796122
demosthenes,0.990022907,4.682762157,11,11,11.86840197
demote,,,,,
demotion,0.973577462,4.304709661,11,11,11.64747796
dempsey,0.93766636,3.276759392,11,11,10.61302024
demur,0.845616076,2.506835546,2,11,9.819261967
demure,0.923345703,3.051112491,7,11,10.36423129
demurely,0.840916344,2.574806225,3,11,10.04025061
demureness,,,,,
den,0.650551962,1.563877341,2,3,7.475496525
denali,0.699981275,1.74369739,3,3,7.982072812
denature,0.918742053,2.930039752,8,10,10.19006147
dendrite,0.918759479,2.78708383,9,10,10.0562021
deneb,0.717469321,1.730951515,2,5,8.083426984
deneen,0.991279624,4.728263564,11,11,11.90251583
deng,,,,,
denial,0.808607341,2.064782299,6,10,8.896170004
denigration,0.970825484,4.249188171,11,11,11.59312839
denim,0.437038515,1.084960841,1,2,5.393746248
denis,0.889042146,2.732468504,10,11,10.07193309
denise,0.944103166,3.551131174,11,11,10.96935601
denizen,0.933142881,3.351958036,11,11,10.76095224
denmark,0.577483357,1.411954677,1,2,6.803628189
denn,0.926741977,3.267092369,7,11,10.60877501
dennis,0.773931133,1.99251612,5,10,8.792774812
denny,0.799879375,2.049629599,10,10,8.928472489
dennys,0.864674364,2.42730041,10,10,9.540040742
denominate,0.969916916,3.930094561,11,11,11.26833614
denomination,0.803070731,1.920426664,5,9,8.621896285
denominator,0.86004191,2.269213292,7,10,9.262019101
denotation,0.796267905,1.816991181,6,8,8.398318568
denote,0.803570413,2.058167368,3,10,8.886361859
denouement,0.962855326,3.831428989,11,11,11.17619795
denounce,0.824471884,2.069611982,5,9,8.894739582
dense,0.617975548,1.349254589,3,4,6.933023383
densely,0.664909688,1.408662706,4,6,7.236868126
density,0.552245411,1.17119906,4,4,6.336882233
dent,0.683460842,1.791125562,1,2,8.335664136
dental,0.459415061,1.091900867,2,2,5.568798911
dentifrice,0.7682009,1.586408303,7,8,7.99621446
dentin,0.457216001,1.090852369,2,2,5.546606394
dentine,0.970327273,3.906678367,10,11,11.25652518
dentist,0.222404031,0.960870626,0,1,1.622683159
dentistry,0.782186015,1.679162713,7,8,8.174880746
dentition,,,,,
denton,0.893426162,2.715446719,7,10,9.900051664
dentons,,,,,
denture,0.838946585,1.995063361,8,10,8.846177895
denude,0.83786733,2.141864681,6,9,9.007384685
denunciation,0.836466594,2.314125976,4,10,9.364397925
denunciatory,,,,,
denver,0.682751853,1.577745783,3,5,7.631387805
deny,0.497153579,1.182143121,1,2,5.929559455
deodorant,0.916955188,3.037916486,11,11,10.40778203
deodorize,0.944405552,3.215447097,10,11,10.5823892
deodorizer,0.966540519,3.88372076,11,11,11.22620858
depart,0.690478454,1.661002739,2,3,7.832191687
department,0.493585378,1.209237416,0,2,5.866554436
departmental,0.915191708,2.680863855,10,11,9.950057436
departure,0.795184162,2.075235338,10,10,8.957804573
depend,0.412154454,1.069028934,1,2,5.083671562
dependability,,,,,
dependable,0.870940257,2.638448928,11,10,9.978585606
dependably,0.855631408,2.265628172,6,10,9.257435507
dependant,0.964609129,4.07204091,11,11,11.47955538
dependence,0.609704019,1.213686883,5,6,6.718623241
dependency,0.61997538,1.240530128,4,6,6.823156072
dependent,0.636876965,1.341139101,4,5,7.000799752
depersonalized,,,,,
depersonalizing,0.973315572,4.030366021,11,11,11.35794247
depict,0.688355699,1.538691707,4,5,7.537621408
depiction,,,,,
depilatory,,,,,
deplete,0.84282316,2.217290295,7,10,9.197841011
depletion,0.904771141,2.837238125,7,10,10.08408704
deplorable,0.831335953,2.270511558,11,10,9.293330931
deplorably,,,,,
deplore,0.896994328,2.687985118,11,10,9.891483754
deploy,0.867787059,2.295153981,9,10,9.334184952
deployment,0.939268973,3.106528722,10,11,10.46242198
depopulate,0.987441242,4.552857576,11,11,11.77627707
deport,0.956076853,3.689988966,11,11,11.0799655
deportee,0.993636541,4.871802991,11,11,11.99798832
deportment,0.935931767,3.149441266,9,11,10.47331528
depose,0.802764445,1.88995114,5,9,8.547253958
deposit,0.42213149,1.047909526,0,2,5.284383651
deposition,0.711639209,1.567555615,4,6,7.699104186
depositional,,,,,
depositor,0.493411339,1.000029281,4,5,5.925523387
depository,0.927060694,3.148863107,10,11,10.59365906
depot,0.835760645,2.371058796,9,10,9.54591163
deprave,0.900110396,2.665098721,10,10,9.865281969
depravity,0.843847679,2.333747542,4,10,9.382161544
deprecate,0.890273274,2.592179935,8,10,9.751747411
deprecation,,,,,
deprecatory,0.848233675,2.299366266,8,10,9.298901812
depreciate,0.879036843,2.69461584,4,11,10.1038725
depreciation,0.909442363,2.61792742,10,10,9.864177614
depress,0.728789878,1.814758052,5,10,8.385229884
depressant,0.570768317,1.131247679,4,5,6.452404949
depressingly,,,,,
depression,0.746498186,1.705797912,5,8,8.103399794
depressor,0.909489642,3.257772371,4,11,10.83030616
depressors,0.887586852,2.603410246,6,10,9.760453173
depressurizing,0.908629352,2.813770453,11,10,10.06646723
deprivation,0.842267182,2.290245626,11,10,9.301117531
deprive,0.706216532,1.502545485,5,7,7.577481372
depth,0.664018416,1.467010182,4,5,7.374744407
deputy,0.47786857,1.139671847,2,2,5.642570119
der,0.903016753,3.040339338,11,11,10.53163534
derailment,0.9633799,3.804079767,9,11,11.13897246
derange,0.869672044,2.474960755,5,10,9.599019249
derangement,0.982437655,4.342842678,11,11,11.61728059
derby,0.7543331,1.827338936,5,9,8.410950802
derbyshire,,,,,
derek,0.842876735,2.758251286,5,11,10.57712134
derelict,0.790817959,1.835247309,7,9,8.44043646
dereliction,0.895572951,2.547111371,8,10,9.69262065
deride,0.986997053,4.533395644,11,11,11.76191183
derision,0.939079143,3.305715359,11,11,10.68893986
derisive,0.911524071,2.976693716,11,11,10.32105614
derisively,0.906686842,2.912569936,11,11,10.22509755
derivation,,,,,
derivative,0.886102162,2.638569298,6,10,9.852002402
derive,0.807346176,1.964450898,7,9,8.699409226
dermatologist,0.843621864,2.383387713,6,10,9.538904659
dermis,0.54748041,1.366455289,1,2,6.50825473
derogatory,0.937890158,3.30670683,11,11,10.68771248
derrick,0.727502865,1.806366318,1,9,8.298986278
derriere,0.851274786,2.967133234,2,2,11.06086728
derringer,0.944007671,3.495231195,11,11,10.88138335
derry,0.805249515,2.150708416,5,10,9.070480942
dervish,0.987905007,4.777344537,11,11,11.97113987
des,0.733457407,1.751368529,2,8,8.154632306
desalinated,,,,,
desalination,,,,,
descartes,0.96031924,3.672873878,11,11,11.02510822
descend,0.702165995,1.620001693,5,7,7.833359239
descendant,0.643757551,1.30716205,5,6,7.023978962
descendent,0.845623619,2.149471493,9,10,9.068340024
descent,0.748712052,1.771798225,5,9,8.25538352
describe,0.265420506,0.965270201,0,1,2.986319789
description,0.431348362,1.225402323,0,1,5.059575036
descriptive,0.742754954,1.716118744,4,8,8.09468188
descry,0.925675985,3.237473739,11,11,10.63196343
desecrate,0.908623618,2.852164415,11,11,10.12754913
desecration,0.913374284,3.066116726,11,11,10.45724478
desegregate,0.920031851,2.806542581,10,11,10.09127532
desegregation,0.964763072,3.932757702,11,11,11.26789289
desensitize,,,,,
desert,0.42748602,1.120104934,0,1,5.217869529
deserter,0.650347809,1.431665175,3,4,7.253635158
desertification,0.953482901,3.479865951,11,11,10.83993434
desertion,0.886534041,2.54051618,9,10,9.677590022
deserve,0.651168108,1.603598428,2,2,7.648639058
deservedly,0.91772598,2.946060611,11,10,10.22492091
desiccate,0.942249092,3.219858708,10,11,10.56673555
desiccation,0.993375926,4.85989513,11,11,11.98973721
desideratum,,,,,
design,0.4955263,1.166457848,0,2,5.924770422
designate,0.793540799,2.120802769,1,10,9.182801422
designation,0.945298631,3.235168537,10,11,10.60366862
designer,0.868115128,2.325437517,9,10,9.399922627
desirability,0.933107625,3.190974126,11,11,10.54987729
desirable,0.832623731,2.102155884,7,9,8.971294765
desire,0.648653574,1.516134938,1,3,7.423791445
desiree,,,,,
desirous,0.865044824,2.450785427,11,10,9.571979941
desist,0.874853823,2.420349777,8,10,9.488927568
desk,0.592954252,1.460013848,0,2,7.073902141
desktop,0.788148157,1.865607504,5,9,8.522621088
desmond,0.966511169,3.98172756,8,11,11.30309137
desolate,0.810130683,2.10347405,5,10,8.98137118
desolately,0.989903521,4.663845583,11,11,11.85681916
desolation,0.832514596,2.2708332,3,10,9.313931552
desolations,0.920548619,3.025391267,11,11,10.36651598
despair,0.595893562,1.531631706,0,2,7.215527932
despairingly,0.784249814,2.369843268,1,2,9.933989452
despatch,0.888140253,2.571092659,8,10,9.724805988
desperado,0.96516087,3.806535609,11,11,11.16405353
desperate,0.672927685,1.676192052,1,2,7.955824217
desperately,0.751548184,2.017298811,9,10,8.939507428
desperation,0.786694131,2.122475144,11,10,9.120672392
despicable,0.89381731,2.740391257,5,10,9.977642856
despise,0.800937762,2.065560078,4,10,8.887114341
despoil,0.956878378,3.775468862,11,11,11.15986329
despond,0.75010012,1.876175427,3,9,8.454085251
despondency,0.921837868,3.078366193,11,11,10.41955562
despondent,0.928225596,3.191674931,11,11,10.5236095
despondently,0.894452574,2.976936196,6,11,10.39297988
despot,0.927229747,3.15265914,10,11,10.57436004
despotic,0.907305055,2.667764967,9,10,9.880453775
despotism,0.924828171,2.951076328,10,11,10.24045323
dessert,0.392957187,1.023827362,1,2,4.98226
dessie,0.940618774,3.453883126,8,11,10.8100922
destination,0.69983935,1.738824696,1,3,8.142334659
destine,0.788682726,2.00853655,3,10,8.777334504
destiny,0.775525672,1.833348401,6,8,8.393123042
destitute,0.82461651,2.406900135,1,11,9.722641131
destitution,0.963627583,3.903877156,8,11,11.23246723
destroy,0.485480085,1.142177984,2,2,5.804837526
destroyer,0.757407373,1.657648529,6,8,8.039794435
destruct,0.934465715,3.038589306,10,11,10.37290996
destruction,0.7622445,1.907997247,7,10,8.628695058
destructive,0.794272712,2.113952827,6,10,9.044408397
desultorily,0.894520503,2.990202398,5,11,10.4008819
desultory,0.901528659,2.78410453,11,10,10.0523898
detach,0.767583879,2.082835217,3,10,9.009984366
detachable,0.898418658,2.637813537,10,10,9.854590298
detachment,0.774579662,1.799856135,5,9,8.345848965
detail,0.530049494,1.368927529,0,1,6.34991339
detain,0.832021538,2.361671329,1,10,9.535063019
detect,0.587892826,1.298557117,1,3,6.755622167
detectable,,,,,
detection,0.828058485,2.230095224,10,10,9.223349389
detective,0.442042145,1.086975676,2,2,5.402662025
detector,0.764086426,1.749873422,4,8,8.224424338
detente,0.793035868,1.790820712,6,9,8.369653432
detention,0.84873628,2.361148764,5,10,9.45854947
deter,0.813694294,2.189493903,2,10,9.173524358
detergent,0.6742542,1.45494238,4,6,7.372272122
deteriorate,0.917843391,3.112359964,11,11,10.46970207
deterioration,0.892888906,2.609763146,10,10,9.800132866
determinacy,0.962217268,3.660484168,10,11,11.03227659
determinant,0.96404074,3.747074006,11,11,11.10383914
determinate,0.97669539,4.124499731,11,11,11.44214854
determination,0.76472976,1.853127734,4,9,8.452927537
determine,0.549944977,1.212709373,3,3,6.367581645
determinedly,0.928815915,3.298721853,11,11,10.73376687
determiner,,,,,
determinism,0.96265204,3.727525039,11,11,11.07991543
deterministic,0.992831193,4.803063583,11,11,11.95463999
deterrent,0.667206815,1.342360933,6,6,7.160779264
detest,0.816309902,2.088969668,7,9,8.909781272
detestable,0.935552128,3.228113657,11,11,10.56321389
detestation,0.961389592,3.978226665,7,11,11.33923789
dethrone,0.868407758,2.454138435,11,10,9.554489758
detonate,0.908979825,2.766800556,8,10,9.9723727
detonation,0.986517662,4.644299989,11,11,11.85847124
detonator,0.94028064,3.298662487,10,11,10.675384
detour,0.710613641,1.581143514,4,7,7.763813867
detoxification,0.854693007,2.127511822,8,10,9.049902459
detract,0.882900517,2.520436945,9,10,9.663830996
detraction,0.869987518,2.502305848,6,10,9.627133431
detriment,,,,,
detrimental,0.982928592,4.362587543,11,11,11.63261112
detroit,0.689795156,1.541256926,4,5,7.574793534
deuce,0.940730962,3.52354174,11,11,10.97098803
deuterium,0.854921649,2.050960501,9,10,8.974755144
deuteronomy,0.74246536,1.570058187,6,7,7.806509384
devaluation,0.962998397,3.985452133,11,11,11.36537341
devalue,,,,,
devastate,0.729662789,1.666530499,5,8,8.00040124
devastation,0.808099127,1.944201447,5,9,8.660510535
develop,0.488822877,1.193189672,1,2,5.832708668
develope,0.55968117,1.225307437,2,3,6.415051681
developer,0.800153624,1.931787378,5,8,8.582502837
development,0.600864116,1.336857103,3,3,6.792041713
developmental,0.891740382,2.596891181,10,10,9.768672688
devi,0.662486282,1.442060838,2,6,7.320920698
deviant,0.927773666,3.090630055,11,11,10.40199008
deviate,,,,,
deviation,0.978460154,4.315879178,11,11,11.58693918
device,0.614301466,1.28474393,4,5,6.81040138
devil,0.702502942,1.734604237,4,8,8.111371313
devilish,0.852057353,2.496934853,11,11,9.750359932
devilishly,0.825595082,2.551661669,1,11,10.12469074
deviltry,0.931238477,3.09812074,11,11,10.41617511
devious,0.877402722,2.507618823,11,10,9.642952948
devise,0.815767305,2.083298268,6,9,8.919307629
devoid,0.85859982,2.372458506,11,10,9.427332939
devon,0.864275547,2.561974713,2,11,9.872511841
devonian,0.979391225,4.224205494,11,11,11.52342141
devonshire,0.909661993,2.82053032,11,10,10.07409541
devorah,0.70300231,1.499657943,5,6,7.517374616
devote,0.759655109,1.768066787,5,8,8.245706673
devotedly,0.917350058,3.011735565,11,11,10.32997529
devotee,,,,,
devotion,0.817876971,2.08796222,5,9,8.927833451
devotional,,,,,
devour,0.695654196,1.656728348,1,7,7.89430831
devout,0.73529271,1.530006418,7,7,7.755159081
devoutly,0.879270031,2.56667453,11,10,9.753081426
dew,0.710554592,1.658134022,4,7,7.917095654
dewdrop,0.853166124,2.470069921,5,10,9.62242256
dewdrops,0.887610329,2.77378988,11,11,10.11412588
dewey,0.778939336,1.789225505,7,9,8.337984784
dewiness,,,,,
dewitt,0.859927706,2.145624513,8,10,9.103263271
dewlap,0.845666045,2.545454599,4,11,9.831372699
dewy,0.907467033,2.900066694,11,11,10.21374656
dexter,0.903544874,2.960017073,11,11,10.36608097
dexterity,0.896658475,2.700764372,11,10,9.925120498
dexterous,,,,,
dexterously,0.914510838,3.450380636,4,11,11.15212946
dharma,0.914267896,3.015660218,11,11,10.33258515
dhoti,0.965523801,3.767779218,10,11,11.1291559
dia,0.9473897,4.069832195,3,11,11.7905117
diabetes,0.489702082,1.080493918,3,3,5.813332924
diabetic,0.834030689,1.98838609,8,9,8.794519127
diabolical,0.927917967,3.208759712,6,11,10.57759458
diabolically,0.966100725,3.953052615,11,11,11.32289419
diacritical,0.758185766,1.682211669,5,8,8.060029173
diadem,0.894808068,2.831590713,6,11,10.12638883
diagnose,0.588808295,1.166546506,4,6,6.573155756
diagnosis,0.657126239,1.309047721,6,6,7.091589302
diagnostic,0.837747686,2.136359999,7,9,9.012793167
diagnostician,0.976761739,4.164195439,11,11,11.46723144
diagonal,0.815945559,1.841858271,7,9,8.532937856
diagonally,0.821898378,2.311191221,4,10,9.396381067
diagram,0.449147242,1.070029335,1,2,5.488267946
dial,0.533586386,1.30342027,0,2,6.345758218
dialect,0.758019715,1.723338665,5,8,8.140198229
dialectal,0.957088593,3.857553727,7,11,11.22084222
dialectic,0.947359364,3.414207879,11,11,10.77030872
dialog,0.945671315,3.313115707,9,11,10.66034167
dialogue,0.55292121,1.305063908,1,2,6.462856356
diameter,0.694910747,1.598395069,4,5,7.729092927
diamond,0.60040102,1.305674933,3,4,6.790020548
diamondback,0.931062095,3.256991623,11,11,10.64748322
diamondbacks,0.866167274,2.491714125,6,10,9.57519351
diana,0.730243708,1.610193364,4,7,7.857964333
diane,0.809264884,2.077308201,8,10,8.991810302
dianne,0.927687043,2.88609527,10,11,10.2062204
diaper,0.846205298,2.221251346,6,10,9.19360548
diaphanous,0.993766174,4.87774789,11,11,12.00209797
diaphragm,0.666595216,1.388222703,4,6,7.243160807
diaphragmatic,0.940665338,3.135400776,10,11,10.49463252
diarrhea,0.710363624,1.399583712,7,7,7.475169433
diarrhoea,0.987485897,4.661996344,11,11,11.85808458
diary,0.756720571,1.770125367,5,8,8.254798105
dias,0.599301312,1.344185483,3,3,6.786492431
diastase,0.980634655,4.271836664,11,11,11.56146859
diastole,0.916003579,2.75232076,9,10,10.00675476
diastolic,0.916003579,2.75232076,9,10,10.00675476
diatom,0.661717266,1.533113944,2,3,7.468606822
diatomaceous,,,,,
diatomic,0.924251095,2.826593339,10,11,10.13378498
diatonic,0.93459631,3.132831055,9,11,10.4391973
diatribe,0.935728237,3.055598163,10,11,10.39591387
diaz,0.730226066,1.723822181,4,6,8.05192069
diazepam,0.991455182,4.736609987,11,11,11.90838146
dibs,0.987448342,4.603946543,11,11,11.80592624
dice,0.788968158,1.71897825,8,9,8.269501998
dicey,0.789851902,2.067365282,2,10,8.958741268
dichotomize,,,,,
dichotomy,0.979313376,4.221258681,11,11,11.52105122
dick,0.766658299,2.130329349,3,3,9.19950787
dickens,0.709890469,1.497552137,7,7,7.605349827
dicker,0.986984998,4.585071082,11,11,11.79186273
dickers,0.824084636,2.154881545,5,10,9.07382991
dickey,0.865406347,2.673558391,11,11,10.06439552
dickie,0.948586513,4.059011999,4,11,11.67876627
dickinson,0.851368426,2.156502662,6,10,9.107384343
dicks,0.904777621,3.046143585,11,11,10.52622196
dickson,0.804436017,1.981958127,8,9,8.720378459
dicky,0.815363172,2.147590082,9,10,9.081422981
dicot,0.942194607,3.196313663,10,11,10.55004705
dicotyledons,0.781940901,1.806909672,5,9,8.36357126
dictate,0.806911164,2.026332409,6,9,8.782338231
dictation,0.917298303,3.056199792,11,11,10.40228915
dictator,0.661675489,1.379825155,4,6,7.21072299
dictatorial,0.819080037,2.362221002,3,3,9.657441734
dictatorship,0.731663281,1.556394262,5,7,7.775329582
diction,0.939831053,3.141959164,10,11,10.49188146
dictionary,0.429931865,1.202060517,1,1,4.925317313
dictum,,,,,
diderot,0.930032741,3.028972648,10,11,10.35777736
dido,0.842949247,2.223281,6,10,9.184344989
didrikson,0.189434658,0.835578777,0,1,2.91099159
didst,0.783293859,2.004121707,3,10,8.79076779
die,0.510556877,1.256009802,0,2,6.103573303
diego,0.529593498,1.112393157,4,4,6.104313729
diesel,0.686569145,1.505473178,5,6,7.530230493
diet,0.458790087,1.105231451,2,2,5.466190593
dietary,0.848853792,2.062156836,8,10,8.94868251
dieter,0.905696263,2.567953054,10,10,9.784667528
dietician,0.44786436,1.126210053,1,2,5.343782726
dietitian,0.794921803,1.907594339,5,8,8.536483273
dietrich,0.975055226,4.380299961,11,11,11.69377279
differ,0.505705481,1.19112017,0,2,6.032557971
difference,0.509975062,1.212102177,1,2,6.060490862
different,0.311264998,0.979771475,0,1,3.894589734
differential,0.840010421,2.469937114,6,10,9.745047982
differentiate,0.881173912,2.50125814,7,10,9.61655171
differentiation,0.842231547,2.006079199,9,10,8.86338119
differently,0.646855908,1.438078683,3,5,7.256748931
difficult,0.570019901,1.305801511,1,3,6.610523789
difficulty,0.633337709,1.478149788,1,3,7.273757264
diffidence,0.901005115,2.768155417,9,10,10.01112707
diffident,0.990192991,4.677250012,11,11,11.86639051
diffidently,0.764372266,1.766164622,5,9,8.261637869
diffract,0.955608541,3.481688577,10,11,10.85886798
diffraction,0.868143847,2.231821374,8,10,9.225556659
diffuse,0.68923101,1.445108814,5,7,7.450748459
diffusion,0.76986042,1.794878229,5,8,8.290072537
dig,0.650832905,1.454817885,3,4,7.319743359
digest,0.452096185,1.1469561,1,2,5.411491068
digestible,0.936284333,3.401174582,7,11,10.75296347
digestion,0.506190632,1.261158512,1,2,5.987980936
digestive,0.554627925,1.277694032,2,3,6.446252692
digger,0.830158324,2.273426444,5,10,9.336262911
diggings,0.80376256,2.065144963,5,9,8.867777981
digit,0.626660699,1.282289318,4,6,6.905947058
digital,0.7629729,1.655390884,7,8,8.058466712
digitalis,0.782593196,2.004733779,4,8,8.667893852
digitize,0.92662089,3.040702949,9,11,10.341588
dignify,0.766832292,2.028597903,2,10,8.938792107
dignitary,0.911263987,2.92194649,11,11,10.24374879
dignity,0.708157897,1.771799713,2,4,8.255611422
digraph,0.508968373,1.383512378,0,1,6.237915574
digress,0.830947033,2.149576733,7,9,8.992680664
digression,0.993268155,4.824558204,11,11,11.96943594
digressive,0.97407177,4.031882773,11,11,11.3646119
dijon,,,,,
dike,0.520616197,1.189305367,2,3,6.094862303
dilapidated,0.931606289,3.207692669,11,11,10.59094626
dilapidation,0.772924044,1.835501602,6,7,8.275265373
dilate,0.792276532,1.847341117,8,9,8.483695917
dilation,,,,,
dilatory,,,,,
dilemma,0.86319794,2.373546379,9,10,9.422441279
dilettante,0.982902125,4.404405472,11,11,11.66040184
dilettantism,,,,,
diligence,0.905345415,2.873404278,11,11,10.1782342
diligent,0.879487547,2.535294333,11,10,9.672559622
diligently,0.887008634,2.595077237,11,10,9.7619834
dill,0.730351641,1.763457051,2,10,8.310005093
dillard,0.954502858,3.771675816,11,11,11.18763981
dillinger,0.371540903,0.984248398,2,2,4.681217525
dillon,0.793327804,2.100874454,4,10,8.987658561
dilly,0.752630289,2.136152279,0,2,9.319126636
dilute,0.696628611,1.459513746,5,7,7.47142202
dilution,0.952647888,3.407133522,10,11,10.7837345
dim,0.614979504,1.477081262,2,2,7.195991039
dimaggio,0.598724002,1.768738039,0,0,8.732110837
dime,0.766631834,1.999285258,7,10,8.856765359
dimension,0.55497896,1.372862797,1,2,6.525543967
dimensional,0.879752551,2.626094914,6,11,9.883155931
dimensionally,,,,,
diminish,0.857350502,2.307723115,10,10,9.327928216
diminution,0.974593217,4.106830031,11,11,11.41547984
diminutive,0.965373374,3.957029905,11,11,11.30275151
dimity,0.973221284,4.065040185,11,11,11.38454449
dimly,0.788298054,2.070233332,9,10,8.96460833
dimness,0.839134984,2.293131403,6,10,9.297577593
dimorphism,0.890468647,2.565728983,7,10,9.694728171
dimple,0.728264796,1.596444742,4,8,7.856342593
dimwit,0.952956965,3.775906079,11,11,11.18377938
din,0.839926513,2.357553632,11,10,9.493216507
dina,0.560571954,1.205957621,4,4,6.374167462
dinar,0.967627869,3.821136526,10,11,11.18042277
dine,0.54520676,1.345531182,1,2,6.457123773
diner,0.711462733,1.823116434,0,10,8.479335475
dinesen,0.91034052,2.73621825,10,10,9.995618049
dinette,0.908259811,2.934938331,7,11,10.21840179
ding,0.599894518,1.216118974,3,6,6.724051097
dinged,0.896409581,2.845009226,11,11,10.15705907
dinghy,0.667030188,1.396782121,4,6,7.238377226
dinginess,0.950132354,3.489318421,11,11,10.83560702
dinging,0.994263763,4.954458583,11,11,12.06366722
dingle,0.919205423,3.111369639,11,11,10.5155655
dingo,0.91137224,3.01487156,11,11,10.39247847
dingy,0.750741264,1.946588827,5,10,8.704439276
dinky,0.857031078,2.527179251,11,10,9.768102109
dinner,0.414176917,1.110614893,0,1,5.082466771
dinnertime,0.781439681,2.357289016,1,2,9.909154616
dino,0.845162967,2.496478442,11,11,9.761114784
dinoflagellate,0.920300883,2.875811856,8,10,10.1517842
dinosaur,0.666080784,1.718102345,0,2,7.983459315
dint,0.90248246,2.849049558,6,11,10.13593565
diocese,0.920341117,2.813582308,9,10,10.08906627
diocletian,,,,,
diode,0.927628767,2.982224026,10,11,10.30766533
diogenes,0.951879188,3.466260763,11,11,10.82335626
dion,0.830041306,2.144008007,7,10,9.037518544
dione,0.965647559,3.78936012,11,11,11.14419756
dionisio,0.728609846,1.505737144,7,7,7.636188443
dionne,0.94118681,3.500702693,11,11,10.92454498
dionysius,0.900339107,2.815398727,11,11,10.09610249
dionysus,0.740299864,1.615169934,6,7,7.846041829
diorama,0.958663151,3.764220474,11,11,11.13272852
dioxide,0.446820533,1.184707373,0,1,5.349534032
dip,0.585765087,1.375005008,3,2,6.775572379
diphtheria,0.431582832,1.07469656,2,2,5.230354028
diphthong,0.928399889,2.950283695,9,11,10.25724828
diploid,0.864385678,2.13665077,9,10,9.11469171
diploma,0.680185459,1.446139965,4,6,7.382034668
diplomacy,0.799703153,1.911041259,5,9,8.61909359
diplomat,0.801717178,1.964475703,2,10,8.771373058
diplomatic,0.848524685,2.255689487,9,10,9.363831531
diplomatically,0.961553214,3.791391321,11,11,11.13498457
diplomatist,0.926477428,3.057768134,11,11,10.36267706
dipole,0.973159128,4.17360855,11,11,11.46982969
dipper,0.58455715,1.591444289,0,1,7.376138385
dippy,0.88312171,2.840751594,6,11,10.22809162
dire,0.862515456,2.62880435,2,11,10.0017334
direct,0.464904964,1.133783924,2,2,5.554657436
direction,0.393689244,1.111208652,0,1,4.698515485
directional,0.893800542,2.663227629,11,10,9.872472557
directive,0.884349344,2.819768234,11,11,10.24285633
directly,0.524806443,1.200995995,1,3,6.201137653
directness,0.911210561,2.883120879,9,11,10.18096933
director,0.684393129,1.46504164,5,6,7.442572396
directorate,0.869683633,2.49606025,6,10,9.585787452
directory,0.53437518,1.140454561,3,4,6.166024458
dirge,0.872981941,2.38573726,6,10,9.475895873
dirigible,0.880151103,2.349556757,8,10,9.415247599
dirigibles,0.89551329,2.678888808,10,10,9.93082352
dirk,0.921654474,3.078761317,7,11,10.42428379
dirt,0.655595968,1.478692998,5,6,7.405890245
dirtiness,0.911508671,2.776906405,10,10,10.03009469
dirty,0.647529702,1.61024755,2,2,7.658847087
dis,0.856208786,2.406776884,5,10,9.526398039
disability,0.792941637,2.076572809,3,10,8.971879945
disable,0.86736875,2.455739297,11,10,9.603454861
disaccharide,0.984938712,4.503528761,11,11,11.73026686
disadvantage,0.771562209,1.851391208,8,9,8.468716608
disaffected,0.915889619,2.766153882,10,11,10.04489542
disagree,0.606983122,1.363234141,3,4,6.932724586
disagreeable,0.854021102,2.543187809,8,11,9.83826516
disagreeably,0.948408131,3.305762854,10,11,10.67876223
disagreement,0.630230543,1.379864136,2,4,7.074737369
disallow,,,,,
disappear,0.617819025,1.436865542,3,3,7.130490397
disappearance,0.809883666,2.088062646,5,10,8.963555964
